Filename,Birth
./question_two_model_diagnostics_seed_15.csv,2025-07-14 17:03:48.601316879 +0100
./question_two_param_diagnostics_seed_27.csv,2025-07-15 16:52:31.952412559 +0100
./question_two_param_diagnostics_seed_6401.csv,2025-07-21 08:02:51.201344954 +0100
./question_two_param_diagnostics_seed_2758.csv,2025-07-23 15:24:45.949776818 +0100
./question_two_param_diagnostics_seed_25.csv,2025-07-15 09:02:27.045358755 +0100
./question_two_param_diagnostics_seed_18.csv,2025-07-14 18:00:41.425406145 +0100
./question_two_model_diagnostics_seed_8589.csv,2025-07-17 21:36:02.243325590 +0100
./question_two_param_diagnostics_seed_7882.csv,2025-07-21 14:11:00.405063593 +0100
./question_two_param_diagnostics_seed_3505.csv,2025-07-23 09:51:40.909280817 +0100
./question_two_param_diagnostics_seed_26.csv,2025-07-15 12:05:12.698955845 +0100
./question_two_model_diagnostics_seed_2998.csv,2025-07-19 18:21:10.063476020 +0100
./question_two_param_diagnostics_seed_7592.csv,2025-07-21 16:19:26.987251786 +0100
./question_two_model_diagnostics_seed_8382.csv,2025-07-17 13:27:09.805506716 +0100
./question_two_param_diagnostics_seed_4478.csv,2025-07-22 06:17:09.649235776 +0100
./question_two_param_diagnostics_seed_5554.csv,2025-07-22 12:09:18.348907861 +0100
./question_two_model_diagnostics_seed_1984.csv,2025-07-21 07:23:08.986948269 +0100
./question_two_model_diagnostics_seed_27.csv,2025-07-15 16:52:31.959412597 +0100
./question_two_model_diagnostics_seed_4145.csv,2025-07-21 10:47:09.577452160 +0100
./question_two_model_diagnostics_seed_3006.csv,2025-07-23 05:52:45.890934068 +0100
./question_two_model_diagnostics_seed_4462.csv,2025-07-17 11:57:21.620613591 +0100
./question_two_param_diagnostics_seed_3579.csv,2025-07-23 12:14:02.243626911 +0100
./question_two_model_diagnostics_seed_2758.csv,2025-07-23 15:24:45.950776824 +0100
./question_two_param_diagnostics_seed_4117.csv,2025-07-20 16:04:42.236583995 +0100
./question_two_param_diagnostics_seed_17.csv,2025-07-14 17:35:14.064416001 +0100
./question_two_model_diagnostics_seed_3504.csv,2025-07-17 11:40:17.659812607 +0100
./question_two_model_diagnostics_seed_5554.csv,2025-07-22 12:09:18.349907867 +0100
./question_two_param_diagnostics_seed_21.csv,2025-07-14 19:40:04.843921515 +0100
./question_two_model_diagnostics_seed_23.csv,2025-07-14 22:34:12.739096903 +0100
./question_two_model_diagnostics_seed_2740.csv,2025-07-24 00:34:45.323377706 +0100
./question_two_model_diagnostics_seed_4707.csv,2025-07-21 19:41:33.565803858 +0100
./question_two_param_diagnostics_seed_9089.csv,2025-07-23 05:37:59.393207536 +0100
./question_two_model_diagnostics_seed_4478.csv,2025-07-22 06:17:09.650235781 +0100
./question_two_param_diagnostics_seed_3435.csv,2025-07-19 14:52:20.761111396 +0100
./question_two_model_diagnostics_seed_25.csv,2025-07-15 09:02:27.045358755 +0100
./question_two_model_diagnostics_seed_4435.csv,2025-07-25 10:36:53.775438265 +0100
./question_two_model_diagnostics_seed_3505.csv,2025-07-23 09:51:40.909280817 +0100
./question_two_param_diagnostics_seed_1864.csv,2025-07-21 08:24:59.835727845 +0100
./question_two_param_diagnostics_seed_7559.csv,2025-07-17 15:14:56.322007084 +0100
./question_two_param_diagnostics_seed_1236.csv,2025-07-17 12:18:37.227818768 +0100
./question_two_param_diagnostics_seed_1934.csv,2025-07-19 13:25:34.798930279 +0100
./question_two_model_diagnostics_seed_4386.csv,2025-07-20 10:05:58.037677886 +0100
./question_two_model_diagnostics_seed_5278.csv,2025-07-19 14:04:13.014951360 +0100
./question_two_param_diagnostics_seed_4707.csv,2025-07-21 19:41:33.565803858 +0100
./question_two_model_diagnostics_seed_26.csv,2025-07-15 12:05:12.699955851 +0100
./question_two_param_diagnostics_seed_3585.csv,2025-07-21 09:03:14.216493445 +0100
./question_two_param_diagnostics_seed_4435.csv,2025-07-25 10:36:53.775438265 +0100
./question_two_model_diagnostics_seed_4063.csv,2025-07-18 14:45:27.849776933 +0100
./question_two_param_diagnostics_seed_1984.csv,2025-07-21 07:23:08.985948263 +0100
./question_two_param_diagnostics_seed_8689.csv,2025-07-18 04:16:32.153229807 +0100
./question_two_param_diagnostics_seed_2620.csv,2025-07-21 07:32:09.220982065 +0100
./question_two_param_diagnostics_seed_4153.csv,2025-07-18 09:44:37.677058311 +0100
./question_two_model_diagnostics_seed_8689.csv,2025-07-18 04:16:32.155229818 +0100
./question_two_model_diagnostics_seed_1864.csv,2025-07-21 08:24:59.836727851 +0100
./question_two_param_diagnostics_seed_8589.csv,2025-07-17 21:36:02.243325590 +0100
./question_two_model_diagnostics_seed_2476.csv,2025-07-24 05:41:09.240158779 +0100
./question_two_model_diagnostics_seed_173.csv,2025-07-19 22:25:00.526027577 +0100
./question_two_param_diagnostics_seed_8382.csv,2025-07-17 13:27:09.804506712 +0100
./question_two_param_diagnostics_seed_3504.csv,2025-07-17 11:40:17.659812607 +0100
./question_two_model_diagnostics_seed_19.csv,2025-07-14 18:37:37.884311188 +0100
./question_two_param_diagnostics_seed_28.csv,2025-07-15 23:05:31.331094292 +0100
./question_two_model_diagnostics_seed_3579.csv,2025-07-23 12:14:02.243626911 +0100
./question_two_param_diagnostics_seed_16.csv,2025-07-14 17:18:38.454370093 +0100
./question_two_model_diagnostics_seed_6451.csv,2025-07-24 14:05:20.886289572 +0100
./question_two_model_diagnostics_seed_6401.csv,2025-07-21 08:02:51.209344998 +0100
./question_two_model_diagnostics_seed_16.csv,2025-07-14 17:18:38.454370093 +0100
./question_two_param_diagnostics_seed_421.csv,2025-07-20 22:04:25.215204312 +0100
./question_two_model_diagnostics_seed_4171.csv,2025-07-23 05:26:42.585701470 +0100
./question_two_model_diagnostics_seed_2104.csv,2025-07-21 09:45:31.524863088 +0100
./question_two_param_diagnostics_seed_4063.csv,2025-07-18 14:45:27.848776928 +0100
./question_two_param_diagnostics_seed_1884.csv,2025-07-23 19:35:47.054542687 +0100
./question_two_model_diagnostics_seed_17.csv,2025-07-14 17:35:14.064416001 +0100
./question_two_model_diagnostics_seed_7592.csv,2025-07-21 16:19:26.988251792 +0100
./question_two_param_diagnostics_seed_1468.csv,2025-07-19 17:04:20.698413681 +0100
./question_two_model_diagnostics_seed_1046.csv,2025-07-22 22:10:53.984759932 +0100
./question_two_model_diagnostics_seed_2243.csv,2025-07-19 15:39:04.094864631 +0100
./question_two_param_diagnostics_seed_2104.csv,2025-07-21 09:45:31.524863088 +0100
./question_two_model_diagnostics_seed_7559.csv,2025-07-17 15:14:56.323007090 +0100
./question_two_param_diagnostics_seed_4863.csv,2025-07-21 11:53:38.071646060 +0100
